"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","43030","TOWN OF OCONTO - OCONTO COUNTY","55","0","0",""
"2021 Spring Primary","43032","TOWN OF OCONTO FALLS - OCONTO COUNTY","35","0","0",""
"2021 Spring Primary","43034","TOWN OF PENSAUKEE - OCONTO COUNTY","58","58","0","0"
"2021 Spring Primary","43036","TOWN OF RIVERVIEW - OCONTO COUNTY","33","0","0",""
"2021 Spring Primary","43038","TOWN OF SPRUCE - OCONTO COUNTY","31","30","0","0"
"2021 Spring Primary","43040","TOWN OF STILES - OCONTO COUNTY","40","0","0",""
"2021 Spring Primary","43042","TOWN OF TOWNSEND - OCONTO COUNTY","22","0","0",""
"2021 Spring Primary","43044","TOWN OF UNDERHILL - OCONTO COUNTY","12","12","0","0"
"2021 Spring Primary","43146","VILLAGE OF LENA - OCONTO COUNTY","6","0","0",""
"2021 Spring Primary","43181","VILLAGE OF SURING - OCONTO COUNTY","27","27","0","0"
"2021 Spring Primary","43231","CITY OF GILLETT - OCONTO COUNTY","19","0","0",""
"2021 Spring Primary","43265","CITY OF OCONTO - OCONTO COUNTY","153","153","0","0"
"2021 Spring Primary","43266","CITY OF OCONTO FALLS - OCONTO COUNTY","59","59","0","0"
"2021 Spring Primary","44002","TOWN OF CASSIAN - ONEIDA COUNTY","49","0","0",""
"2021 Spring Primary","44004","TOWN OF CRESCENT - ONEIDA COUNTY","91","88","0","0"
"2021 Spring Primary","44006","TOWN OF ENTERPRISE - ONEIDA COUNTY","6","0","0",""
"2021 Spring Primary","44008","TOWN OF HAZELHURST - ONEIDA COUNTY","34","0","0",""
"2021 Spring Primary","44010","TOWN OF LAKE TOMAHAWK - ONEIDA COUNTY","32","32","0","0"
"2021 Spring Primary","44012","TOWN OF LITTLE RICE - ONEIDA COUNTY","11","0","0",""
"2021 Spring Primary","44014","TOWN OF LYNNE - ONEIDA COUNTY","2","0","0",""
"2021 Spring Primary","44016","TOWN OF MINOCQUA - ONEIDA COUNTY","258","258","0","0"
"2021 Spring Primary","44020","TOWN OF NEWBOLD - ONEIDA COUNTY","157","141","0","0"
"2021 Spring Primary","44022","TOWN OF NOKOMIS - ONEIDA COUNTY","47","0","0",""
"2021 Spring Primary","44024","TOWN OF PELICAN - ONEIDA COUNTY","146","0","0",""
"2021 Spring Primary","44026","TOWN OF PIEHL - ONEIDA COUNTY","1","0","0",""
"2021 Spring Primary","44028","TOWN OF PINE LAKE - ONEIDA COUNTY","135","135","0","0"
"2021 Spring Primary","44030","TOWN OF SCHOEPKE - ONEIDA COUNTY","5","5","0","0"
